Price,Brand,Model,Year,Condition,Transmission,Fuel,Capacity,Mileage
"Rs 3,335,000",Toyota,Passo,2007,Used,Automatic,Petrol,"1,300 cc","117,000 km"
"Rs 4,450,000",Honda,Fit Shuttle,2012,Used,Automatic,Hybrid,"1,300 cc","100,000 km"
"Rs 10,975,000",Toyota,Premio,2018,Used,Automatic,Petrol,"1,500 cc","34,500 km"
"Rs 1,350,000",Nissan,Sunny,1990,Used,Manual,Petrol,"1,300 cc","187,560 km"
"Rs 11,900,000",Toyota,Land Cruiser Sahara,2004,Used,Manual,Diesel,"4,200 cc","206,000 km"
"Rs 5,740,000",Toyota,Vitz,2017,Used,Automatic,Petrol,"1,000 cc","33,000 km"
"Rs 2,900,000",Mercedes Benz,C180,1994,Used,Manual,Petrol,"1,800 cc","130,000 km"
"Rs 6,600,000",Toyota,Vitz,2019,Used,Automatic,Petrol,"1,300 cc","27,690 km"
"Rs 10,000,000",Toyota,CHR,2019,Used,Automatic,Petrol,"1,200 cc","27,000 km"
"Rs 4,695,000",Nissan,Navara,2008,Used,Manual,Diesel,"2,488 cc","105,586 km"
"Rs 4,000,000",Suzuki,Hustler,2017,Used,Automatic,Petrol,660 cc,"23,000 km"
"Rs 1,575,000",Suzuki,Alto,2004,Used,Manual,Petrol,800 cc,"98,000 km"
"Rs 2,650,000",Renault,Other Model,2004,Used,Manual,Petrol,"1,800 cc","69,000 km"
"Rs 3,175,000",Toyota,Passo,2008,Used,Automatic,Petrol,"1,300 cc","127,500 km"
"Rs 1,835,000",Suzuki,Alto,2007,Used,Manual,Petrol,800 cc,"89,012 km"
"Rs 5,700,000",Suzuki,Baleno,2016,Used,Automatic,Petrol,"1,200 cc","44,000 km"
"Rs 3,885,000",Micro,Kyron,2008,Used,Automatic,Diesel,"2,000 cc","153,000 km"
"Rs 4,450,000",Suzuki,Wagon R Stingray,2018,Used,Automatic,Petrol,630 cc,"47,000 km"
"Rs 22,000,000",Toyota,Land Cruiser Prado,2015,Used,Manual,Diesel,"3,000 cc","59,000 km"
"Rs 1,290,000",Tata,Nano,2014,Used,Manual,Petrol,650 cc,"82,000 km"
"Rs 4,500,000",Toyota,Aqua,2014,Used,Automatic,Hybrid,"1,500 cc","100,000 km"
"Rs 2,075,000",Hyundai,Accent,2006,Used,Automatic,Petrol,"1,490 cc","102,456 km"
"Rs 14,150,000",Toyota,Harrier,2015,Used,Tiptronic,Hybrid,"2,500 cc","80,000 km"
"Rs 3,810,000",Suzuki,Wagon R Stingray,2016,Used,Automatic,Petrol,660 cc,"41,000 km"
"Rs 4,280,000",Suzuki,Wagon R Stingray,2017,Used,Automatic,Petrol,650 cc,"67,000 km"
"Rs 3,990,000",Toyota,Hilux,1992,Used,Manual,Diesel,"2,800 cc","510,076 km"
"Rs 9,575,000",Toyota,CHR,2017,Used,Automatic,Petrol,"1,190 cc","33,030 km"
"Rs 2,375,000",Suzuki,Alto,2015,Used,Manual,Petrol,800 cc,"72,000 km"
"Rs 2,075,000",Suzuki,Alto,2011,Used,Manual,Petrol,"1,000 cc","68,125 km"
"Rs 650,000",Mitsubishi,Lancer,1979,Used,Manual,Petrol,"1,400 cc","320,000 km"
"Rs 6,350,000",Toyota,Axio,2015,Used,Automatic,Petrol,"1,500 cc","114,000 km"
"Rs 3,600,000",Toyota,Vitz,2006,Used,Automatic,Petrol,"1,000 cc","90,000 km"
"Rs 5,190,000",Nissan,Other Model,2010,Used,Automatic,Petrol,"2,400 cc","161,500 km"
"Rs 1,150,000",Mitsubishi,Lancer,1982,Used,Manual,Petrol,"1,400 cc","310,000 km"
"Rs 4,790,000",Toyota,Axio,2007,Used,Automatic,Petrol,"1,500 cc","145,000 km"
"Rs 4,275,000",Suzuki,Wagon R Stingray,2017,Used,Automatic,Petrol,650 cc,"42,000 km"
"Rs 860,000",Mazda,Familia,1987,Used,Manual,Petrol,"1,500 cc","100,000 km"
"Rs 2,790,000",Perodua,Viva Elite,2011,Used,Automatic,Petrol,"1,000 cc","100,000 km"
"Rs 6,690,000",Toyota,Allion,2011,Used,Automatic,Petrol,"1,800 cc","117,000 km"
"Rs 4,990,000",Daihatsu,Boon,2017,Used,Automatic,Petrol,"1,000 cc","57,828 km"
"Rs 115,000,000",Land Rover,Range Rover,2019,New,Automatic,Petrol,"2,000 cc",200 km
"Rs 6,290,000",Toyota,Premio,2008,Used,Automatic,Petrol,"1,800 cc","92,000 km"
"Rs 5,800,000",Toyota,Land Cruiser Prado,1987,Used,Manual,Diesel,"3,000 cc","200,000 km"
"Rs 6,290,000",Toyota,Premio,2008,Used,Automatic,Petrol,"1,500 cc","100,000 km"
"Rs 2,975,000",Mazda,Axela,2003,Used,Manual,Petrol,"1,490 cc","14,900 km"
"Rs 4,690,000",Toyota,Allion,2005,Used,Automatic,Petrol,"1,500 cc","120,000 km"
"Rs 4,490,000",Toyota,Premio,2003,Used,Automatic,Petrol,"1,500 cc","112,000 km"
"Rs 8,990,000",Toyota,Premio,2016,Used,Automatic,Petrol,"1,500 cc","51,000 km"
"Rs 2,850,000",Toyota,Etios,2012,Used,Manual,Petrol,"1,500 cc","57,000 km"
"Rs 3,650,000",Suzuki,Wagon R FX,2017,Used,Automatic,Hybrid,650 cc,"100,000 km"
"Rs 6,190,000",Toyota,Allion,2008,Used,Automatic,Petrol,"1,500 cc","100,000 km"
"Rs 1,290,000",Toyota,Corolla,1986,Used,Manual,Petrol,"1,500 cc","200,000 km"
"Rs 8,575,000",Honda,Vezel,2017,Used,Automatic,Hybrid,"1,500 cc","71,000 km"
"Rs 12,590,000",Mitsubishi,Outlander,2016,Used,Tiptronic,CNG,"2,000 cc","73,000 km"
"Rs 2,295,000",Suzuki,Estilo,2011,Used,Manual,Petrol,"1,000 cc","110,000 km"
"Rs 16,500,000",Audi,A8,2012,Used,Automatic,Hybrid,"2,000 cc","35,000 km"
"Rs 3,950,000",Suzuki,Wagon R Stingray,2016,Used,Automatic,Petrol,650 cc,"57,782 km"
"Rs 600,000",Nissan,Sunny,1985,Used,Manual,Petrol,"1,300 cc","50,000 km"
"Rs 3,650,000",Suzuki,SX4,2007,Used,Automatic,Petrol,"1,500 cc","120,422 km"
"Rs 5,699,999",Toyota,Axio,2013,Used,Automatic,Petrol,"1,500 cc","89,000 km"
"Rs 4,490,000",Toyota,Corolla,2008,Used,Automatic,Petrol,"1,598 cc","86,000 km"
"Rs 3,775,000",Mazda,Demio,2008,Used,Automatic,Petrol,"1,300 cc","58,000 km"
"Rs 950,000",Mazda,Familia,1987,Used,Manual,Petrol,"1,500 cc","110,000 km"
"Rs 3,990,000",Honda,Fit,2011,Used,Automatic,Hybrid,"1,330 cc","169,530 km"
"Rs 18,500,000",Mercedes Benz,SLC 180,2018,Used,Automatic,Petrol,"1,600 cc","6,073 km"
"Rs 2,100,000",Nissan,March,1999,Used,Automatic,Petrol,"1,000 cc","75,000 km"
"Rs 6,590,000",Suzuki,Grand Vitara,2013,Used,Automatic,Petrol,"2,000 cc","49,000 km"
"Rs 3,375,000",Micro,Actyon,2014,Used,Automatic,Diesel,"1,998 cc","106,000 km"
"Rs 6,450,000",Honda,Vezel,2015,Used,Automatic,Petrol,"1,500 cc","46,000 km"
"Rs 1,225,000",Suzuki,Maruti,2003,Used,Manual,Petrol,800 cc,"35,000 km"
"Rs 5,275,000",Suzuki,Wagon R FZ,2018,Reconditioned,Automatic,Petrol,650 cc,"9,000 km"
"Rs 9,500,000",BMW,523i,2010,Used,Tiptronic,Petrol,"2,500 cc","71,000 km"
"Rs 29,000,000",Toyota,Land Cruiser Sahara,2009,Used,Tiptronic,Petrol,"4,600 cc","89,000 km"
"Rs 1,880,000",Suzuki,Alto,2011,Used,Manual,Petrol,800 cc,"140,000 km"
"Rs 3,925,000",Suzuki,Spacia,2016,Used,Automatic,Petrol,650 cc,"59,000 km"
"Rs 3,780,000",Suzuki,Wagon R FZ,2017,Used,Automatic,Hybrid,650 cc,"87,500 km"
"Rs 2,075,000",Nissan,Other Model,1997,Used,Automatic,Diesel,"2,000 cc","170,000 km"
"Rs 7,950,000",Toyota,Premio,2013,Used,Automatic,Petrol,"1,500 cc","91,000 km"
"Rs 1,550,000",Toyota,Corona,1994,Used,Manual,Diesel,"2,000 cc","210,000 km"
"Rs 6,475,000",Toyota,Axio,2015,Used,Automatic,Hybrid,"1,500 cc","35,000 km"
"Rs 4,465,000",Suzuki,Wagon R Stingray,2018,Used,Automatic,Petrol,650 cc,"37,000 km"
"Rs 2,650,000",Mitsubishi,L200,1994,Used,Manual,Diesel,"2,500 cc","220,000 km"
"Rs 8,350,000",Suzuki,S-Cross,2019,Used,Automatic,Petrol,"1,000 cc","32,200 km"
"Rs 9,375,000",Mercedes Benz,E200,2010,Used,Automatic,Petrol,"1,790 cc","92,000 km"
"Rs 2,395,000",Suzuki,Alto,2015,Used,Manual,Petrol,800 cc,"37,000 km"
"Rs 1,625,000",Suzuki,Alto,2004,Used,Manual,Petrol,800 cc,"85,000 km"
"Rs 4,875,000",Toyota,Yaris,2012,Used,Automatic,Petrol,"1,300 cc","84,000 km"
"Rs 7,000,000",MG,ZS,2019,Used,Automatic,Petrol,"1,500 cc","23,000 km"
"Rs 2,850,000",Perodua,Viva Elite,2012,Used,Automatic,Petrol,"1,000 cc","98,500 km"
"Rs 675,000",Morris,Oxford,1971,Used,Manual,Petrol,"1,590 cc","105,000 km"
"Rs 6,495,000",Honda,Grace,2015,Used,Tiptronic,Hybrid,"1,500 cc","78,000 km"
"Rs 23,500,000",BMW,X5,2016,Used,Automatic,Petrol,"2,000 cc","46,000 km"
"Rs 4,975,000",Toyota,Axio,2006,Used,Automatic,Petrol,"1,600 cc","148,000 km"
"Rs 2,400,000",Micro,Panda Cross,2016,Used,Manual,Petrol,"1,345 cc","21,100 km"
"Rs 1,750,000",Proton,Savvy,2005,Used,Automatic,Petrol,"1,300 cc","90,000 km"
"Rs 3,590,000",Suzuki,Wagon R Stingray,2015,Used,Automatic,Petrol,660 cc,"42,000 km"
"Rs 18,500,000",BMW,X2,2019,Used,Automatic,Petrol,"1,500 cc","10,000 km"
"Rs 9,850,000",Mercedes Benz,C220,2012,Used,Automatic,Diesel,"2,143 cc","86,000 km"
"Rs 4,150,000",Suzuki,Spacia,2017,Used,Automatic,Hybrid,650 cc,"57,000 km"
"Rs 2,290,000",Hyundai,Eon,2016,Used,Manual,Petrol,800 cc,"77,000 km"
"Rs 4,650,000",Toyota,Hilux,1995,Used,Manual,Diesel,"2,800 cc","135,000 km"
"Rs 2,990,000",Suzuki,Swift,2004,Used,Automatic,Petrol,"1,300 cc","140,000 km"
"Rs 6,675,000",Honda,Vezel,2015,Used,Automatic,Petrol,"1,500 cc","63,500 km"
"Rs 8,865,000",Toyota,CHR,2017,Used,Automatic,Petrol,"1,300 cc","47,000 km"
"Rs 3,525,000",Suzuki,Wagon R FZ,2014,Used,Automatic,Petrol,650 cc,"76,000 km"
"Rs 6,590,000",Audi,A1,2017,Used,Automatic,Petrol,"1,000 cc","42,000 km"
"Rs 13,390,000",Toyota,Fortuner,2013,Used,Automatic,Diesel,"3,000 cc","105,983 km"
"Rs 8,290,000",Mini,Cooper,2015,Used,Automatic,Petrol,"1,200 cc","74,833 km"
"Rs 850,000",Honda,Civic,1985,Used,Manual,Petrol,"1,300 cc","200,000 km"
"Rs 3,950,000",Suzuki,Hustler,2017,Used,Automatic,Petrol,650 cc,"68,547 km"
"Rs 2,500,000",Peugeot,206,2003,Used,Automatic,Petrol,"1,390 cc","133,000 km"
"Rs 6,390,000",Toyota,Hilux,2010,Used,Manual,Diesel,"2,500 cc","127,600 km"
"Rs 15,750,000",Mercedes Benz,E300,2014,Used,Automatic,Diesel,"2,150 cc","50,450 km"
"Rs 7,200,000",Mini,Countryman,2014,Used,Manual,Petrol,"1,600 cc","80,000 km"
"Rs 3,525,000",Suzuki,Wagon R,2014,Used,Automatic,Petrol,650 cc,"62,000 km"
"Rs 4,700,000",Toyota,Premio,2003,Used,Automatic,Petrol,"1,800 cc","279,000 km"
"Rs 4,690,000",Toyota,Axio,2008,Used,Automatic,Petrol,"1,500 cc","111,000 km"
"Rs 7,890,000",Toyota,Axio,2017,Used,Automatic,Hybrid,"1,500 cc","56,000 km"
"Rs 4,585,000",Suzuki,Spacia,2017,Used,Automatic,Petrol,650 cc,"58,000 km"
"Rs 1,590,000",Maruti Suzuki,800,2012,Used,Manual,Petrol,800 cc,"48,000 km"
"Rs 4,750,000",Toyota,Aqua,2014,Used,Automatic,Petrol,"1,500 cc","68,000 km"
"Rs 1,550,000",Tata,Indica,2014,Used,Manual,Petrol,"1,193 cc","137,000 km"
"Rs 3,850,000",Nissan,Dayz,2017,Used,Automatic,Petrol,660 cc,"12,500 km"
"Rs 5,650,000",Hyundai,Tucson,2012,Used,Automatic,Petrol,"1,998 cc","88,000 km"
"Rs 13,300,000",Mitsubishi,L200,2020,Used,Manual,Diesel,"2,400 cc","13,000 km"
"Rs 6,195,000",Toyota,Allion,2010,Used,Automatic,Petrol,"1,500 cc","114,523 km"
"Rs 2,125,000",Toyota,Marino,1997,Used,Manual,Petrol,"1,500 cc","221,010 km"
"Rs 2,790,000",Renault,KWID,2017,Used,Automatic,Petrol,"1,000 cc","36,200 km"
"Rs 875,000",Suzuki,Maruti,1995,Used,Manual,Petrol,800 cc,"86,000 km"
"Rs 775,000",Toyota,Corolla,1985,Used,Manual,Petrol,"1,300 cc","200,000 km"
"Rs 6,875,000",Honda,Civic,2014,Used,Automatic,Petrol,"1,800 cc","62,000 km"
"Rs 3,700,000",Land Rover,Defender,1984,Used,Manual,Diesel,"2,286 cc","120,000 km"
"Rs 4,895,000",Toyota,IST,2007,Used,Automatic,Petrol,"1,500 cc","147,000 km"
"Rs 530,000",Nissan,Dutsun,1986,Used,Manual,Petrol,"1,400 cc","100,000 km"
"Rs 775,000",Daihatsu,Charade,1990,Used,Manual,Petrol,"1,000 cc","100,000 km"
"Rs 19,500,000",Nissan,Patrol,2013,Used,Automatic,Diesel,"3,000 cc","97,000 km"
"Rs 2,390,000",Suzuki,Other Model,2003,Used,Automatic,Petrol,650 cc,"131,200 km"
"Rs 10,490,000",Toyota,Premio,2017,Used,Automatic,Petrol,"1,500 cc","52,000 km"
"Rs 1,400,000",Peugeot,405,1994,Used,Manual,Diesel,"1,900 cc","150,000 km"
"Rs 6,650,000",Toyota,Vitz,2019,Used,Automatic,Petrol,"1,000 cc","19,900 km"
"Rs 4,750,000",Honda,Fit Shuttle,2013,Used,Automatic,Hybrid,"1,330 cc","110,525 km"
"Rs 3,275,000",Maruti Suzuki,Alto,2015,Used,Manual,Petrol,"1,000 cc","36,000 km"
"Rs 1,120,000",Nissan,March,1991,Used,Manual,Petrol,"1,000 cc","159,000 km"
"Rs 450,000",Datsun,Other Model,1980,Used,Manual,Petrol,800 cc,"150,000 km"
"Rs 750,000",Toyota,Carina,1984,Used,Manual,Petrol,"1,400 cc","272,208 km"
"Rs 550,000",Toyota,Corolla,1976,Used,Manual,Petrol,"1,200 cc","10,000 km"
"Rs 8,100,000",Toyota,Premio,2013,Used,Automatic,Petrol,"1,500 cc","140,000 km"
"Rs 2,200,000",Mini,Cooper,1996,Used,Automatic,Petrol,"1,300 cc","50,000 km"
"Rs 2,175,000",Tata,Xenon,2016,Used,Manual,Diesel,"2,950 cc","72,000 km"
"Rs 2,175,000",Renault,KWID,2016,Used,Manual,Petrol,800 cc,"104,000 km"
"Rs 15,200,000",Mitsubishi,L200,2020,Used,Automatic,Diesel,"2,400 cc","13,000 km"
"Rs 3,975,000",Honda,N-WGN,2016,Used,Automatic,Petrol,650 cc,"50,172 km"
"Rs 6,075,000",Toyota,Vitz,2018,Used,Automatic,Petrol,"1,000 cc","33,000 km"
"Rs 1,365,000",Maruti Suzuki,800,2006,Used,Manual,Petrol,800 cc,"136,000 km"
"Rs 5,200,000",BMW,i3,2014,Reconditioned,Automatic,Electric,75 cc,"6,000 km"
"Rs 4,000,000",Honda,Fit,2012,Used,Automatic,Hybrid,"1,330 cc","113,550 km"
"Rs 6,895,000",MG,ZS,2018,Used,Automatic,Petrol,"1,000 cc","26,000 km"
"Rs 4,690,000",Toyota,Allion,2006,Reconditioned,Automatic,Petrol,"1,500 cc","145,000 km"
"Rs 6,300,000",Mitsubishi,Pajero,1994,Used,Automatic,Diesel,"2,800 cc","100,000 km"
"Rs 8,500,000",Mini,Cooper,2014,Used,Automatic,Petrol,"1,400 cc","19,000 km"
"Rs 5,390,000",Suzuki,Ciaz,2015,Used,Automatic,Petrol,"1,400 cc","60,293 km"
"Rs 5,850,000",Toyota,Axio,2015,Used,Automatic,Hybrid,"1,500 cc","112,000 km"
"Rs 3,890,000",Suzuki,Wagon R FZ,2017,Used,Automatic,Hybrid,650 cc,"67,000 km"
"Rs 4,390,000",Suzuki,Wagon R Stingray,2018,Used,Automatic,Hybrid,650 cc,"38,900 km"
"Rs 15,250,000",BMW,520d,2015,Used,Automatic,Diesel,"2,000 cc","75,000 km"
"Rs 3,900,000",Toyota,Vitz,2008,Used,Automatic,Petrol,"1,000 cc","93,345 km"
"Rs 6,125,000",Honda,Vezel,2014,Used,Tiptronic,Hybrid,"1,500 cc","80,000 km"
"Rs 11,490,000",Mitsubishi,Outlander,2015,Used,Automatic,Petrol,"2,300 cc","89,000 km"
"Rs 2,500,000",Suzuki,Alto,2004,Used,Automatic,Petrol,650 cc,"86,500 km"
"Rs 3,690,000",Toyota,Prius,2007,Used,Automatic,Hybrid,"1,500 cc","145,000 km"
"Rs 5,600,000",Toyota,Axio,2014,Used,Automatic,Hybrid,"1,490 cc","170,000 km"
"Rs 11,075,000",Mitsubishi,Xpander,2018,Used,Automatic,Petrol,"1,500 cc","17,000 km"
"Rs 18,000,000",Mercedes Benz,A200,2019,Used,Automatic,Petrol,"2,000 cc","19,000 km"
"Rs 2,150,000",Renault,KWID,2016,Used,Manual,Petrol,800 cc,"75,000 km"
"Rs 2,090,000",Datsun,Redi Go,2017,Used,Automatic,Petrol,800 cc,"45,000 km"
"Rs 3,800,000",Toyota,Carina,2000,Used,Automatic,Petrol,"1,800 cc","210,000 km"
"Rs 38,500,000",Land Rover,Range Rover Velar,2018,Used,Automatic,Petrol,"2,000 cc","20,000 km"
"Rs 11,500,000",Toyota,Land Cruiser Prado,2007,Used,Automatic,Petrol,"2,700 cc","120,000 km"
"Rs 4,425,000",Suzuki,Wagon R Stingray,2018,Used,Automatic,Hybrid,660 cc,"56,000 km"
"Rs 12,150,000",Mercedes Benz,C180,2014,Used,Tiptronic,Petrol,"1,590 cc","66,700 km"
"Rs 10,390,000",Toyota,Premio,2016,Used,Automatic,Petrol,"1,500 cc","65,000 km"
"Rs 4,150,000",Suzuki,Wagon R FZ,2017,Used,Automatic,Hybrid,650 cc,"16,000 km"
"Rs 18,850,000",Toyota,Other Model,2019,Used,Automatic,Diesel,"3,000 cc","19,000 km"
"Rs 3,650,000",Suzuki,Wagon R Stingray,2014,Used,Automatic,Hybrid,660 cc,"28,627 km"
"Rs 24,800,000",Toyota,Land Cruiser Sahara,2010,Used,Tiptronic,Petrol,"4,600 cc","135,000 km"
"Rs 1,290,000",Toyota,Sprinter,1988,Used,Manual,Petrol,"1,500 cc","150,000 km"
"Rs 3,600,000",Mahindra,Scorpio,2012,Used,Manual,Diesel,"2,500 cc","35,000 km"
"Rs 830,000",Hyundai,Stellar,1988,Used,Manual,Petrol,"1,500 cc","150,000 km"
"Rs 1,400,000",Suzuki,Maruti,2007,Used,Manual,Petrol,800 cc,"81,000 km"
"Rs 4,050,000",Suzuki,Wagon R Stingray,2018,Used,Automatic,Other fuel type,660 cc,"68,000 km"
"Rs 32,000,000",Land Rover,Discovery,2017,Used,Automatic,Diesel,"3,000 cc","59,000 km"
"Rs 12,950,000",Toyota,Premio,2019,Used,Automatic,Petrol,"1,500 cc","19,100 km"
"Rs 3,750,000",Suzuki,Spacia,2016,Used,Automatic,Hybrid,650 cc,"74,000 km"
"Rs 1,975,000",Micro,Other Model,2016,Used,Manual,Petrol,"1,250 cc","50,000 km"
"Rs 2,375,000",Chery,Fulwin,2015,Used,Manual,Petrol,"1,500 cc","76,801 km"
"Rs 7,250,000",Honda,Grace,2017,Used,Automatic,Hybrid,"1,490 cc","60,776 km"
"Rs 28,000,000",BMW,X5,2017,Used,Automatic,Petrol,"2,000 cc","69,000 km"
"Rs 960,000",Tata,Nano,2011,Used,Manual,Petrol,660 cc,"74,000 km"
"Rs 5,190,000",Toyota,Rush,2008,Used,Automatic,Petrol,"1,500 cc","74,356 km"
"Rs 8,975,000",Jeep,Other Model,1996,Used,Automatic,Diesel,"2,982 cc","132,000 km"
"Rs 2,500,000",Mitsubishi,4DR,1968,Used,Manual,Diesel,"2,000 cc","3,000 km"
"Rs 5,450,000",Toyota,Prius,2014,Used,Automatic,Petrol,"1,500 cc","118,250 km"
"Rs 1,850,000",Nissan,Leaf,2013,Used,Automatic,Electric,70 cc,"37,000 km"
"Rs 5,200,000",Honda,Insight,2012,Used,Tiptronic,Petrol,"1,500 cc","108,000 km"
"Rs 5,225,000",Honda,Freed,2013,Used,Automatic,Hybrid,"1,490 cc","125,400 km"
"Rs 3,650,000",Toyota,Corolla,2002,Used,Automatic,Petrol,"1,500 cc","147,000 km"
"Rs 775,000",Nissan,Sunny,1984,Used,Manual,Petrol,"1,300 cc","190,000 km"
"Rs 9,200,000",Mitsubishi,L200,2016,Used,Manual,Diesel,"2,500 cc","200,000 km"
"Rs 6,100,000",Toyota,Aqua,2016,Used,Automatic,Hybrid,"1,500 cc","44,000 km"
"Rs 6,500,000",Honda,Vezel,2014,Used,Automatic,Hybrid,"1,500 cc","76,618 km"
"Rs 1,895,000",Micro,Panda,2015,Used,Manual,Petrol,"1,000 cc","49,000 km"
"Rs 3,490,000",Honda,HR-V,2000,Used,Manual,Petrol,"1,590 cc","160,000 km"
"Rs 560,000",Morris,Minor,1958,Used,Manual,Petrol,"1,000 cc","300,000 km"
"Rs 625,000",Mazda,Familia,1986,Used,Manual,Petrol,"1,500 cc","238,500 km"
"Rs 6,695,000",Toyota,Axio,2015,Used,Automatic,Hybrid,"1,490 cc","75,012 km"
"Rs 17,900,000",Mitsubishi,Montero,2013,Used,Automatic,Diesel,"3,200 cc","92,000 km"
"Rs 2,800,000",Suzuki,Alto,2015,Used,Automatic,Petrol,"1,000 cc","79,000 km"
"Rs 4,290,000",Suzuki,Wagon R Stingray,2017,Used,Automatic,Hybrid,660 cc,"51,000 km"
"Rs 10,500,000",BMW,520d,2012,Used,Tiptronic,Diesel,"2,000 cc","165,000 km"
"Rs 2,750,000",Toyota,Carina,1997,Used,Automatic,Petrol,"1,500 cc","156,000 km"
"Rs 3,940,000",Daihatsu,Mira,2018,Used,Automatic,Petrol,660 cc,"32,000 km"
"Rs 1,450,000",Maruti,Other Model,2007,Used,Manual,Petrol,796 cc,"56,000 km"
"Rs 4,975,000",Nissan,Dualis,2007,Used,Automatic,Petrol,"2,000 cc","130,000 km"
"Rs 785,000",Honda,Civic,1986,Used,Manual,Petrol,"1,500 cc","100,000 km"
"Rs 6,990,000",Audi,A1,2016,Used,Automatic,Petrol,"1,000 cc","21,000 km"
"Rs 590,000",Toyota,Carina,1985,Used,Manual,Petrol,"1,500 cc","200,000 km"
"Rs 8,100,000",Toyota,Allion,2014,Used,Automatic,Petrol,"1,500 cc","87,000 km"
"Rs 750,000",Toyota,Corolla,1988,Used,Manual,Petrol,"1,300 cc","216,032 km"
"Rs 3,500,000",Mercedes Benz,E200,2001,Used,Manual,Petrol,"2,000 cc","122,000 km"
"Rs 3,325,000",Suzuki,Alto,2015,Used,Automatic,Petrol,660 cc,"53,000 km"
"Rs 4,675,000",Suzuki,Wagon R,2018,Used,Tiptronic,Hybrid,880 cc,"54,000 km"
"Rs 2,850,000",Perodua,Viva Elite,2011,Used,Automatic,Petrol,"1,000 cc","97,000 km"
"Rs 14,700,000",Land Rover,Defender,2007,Used,Manual,Diesel,"2,400 cc","80,000 km"
"Rs 2,375,000",Suzuki,Swift,2003,Used,Automatic,Petrol,"1,000 cc","135,000 km"
"Rs 19,500,000",Mercedes Benz,S500,2013,Used,Tiptronic,Petrol,"5,000 cc","50,000 km"
"Rs 85,000,000",Land Rover,Range Rover,2019,Reconditioned,Automatic,Petrol,"2,000 cc","2,000 km"
"Rs 7,500,000",Mercedes Benz,ML270,2004,Used,Tiptronic,Diesel,"2,600 cc","150,000 km"
"Rs 3,550,000",Nissan,Dayz,2015,Used,Automatic,Petrol,650 cc,"43,221 km"
"Rs 800,000",Maruti Suzuki,800,1993,Used,Manual,Petrol,800 cc,"99,000 km"
"Rs 5,700,000",Toyota,Allion,2007,Used,Automatic,Petrol,"1,500 cc","114,236 km"
"Rs 6,400,000",Toyota,Vitz,2018,Used,Automatic,Petrol,"1,000 cc","10,000 km"
"Rs 3,885,000",Suzuki,Wagon R,2017,Used,Automatic,Petrol,650 cc,"24,000 km"
"Rs 6,190,000",Toyota,Vitz,2018,Used,Automatic,Petrol,"1,000 cc","46,027 km"
"Rs 11,500,000",Honda,Insight,2018,Reconditioned,Automatic,Hybrid,"1,500 cc","9,800 km"
"Rs 4,525,000",Toyota,Aqua,2013,Used,Automatic,Petrol,"1,200 cc","119,000 km"
"Rs 2,290,000",Suzuki,Alto,2015,Used,Manual,Petrol,800 cc,"111,000 km"
"Rs 855,000",Tata,Nano,2012,Used,Manual,Petrol,660 cc,"275,000 km"
"Rs 3,890,000",Toyota,Pixis,2015,Used,Automatic,Petrol,650 cc,"60,790 km"
"Rs 3,050,000",Perodua,Viva Elite,2012,Used,Automatic,Petrol,"1,000 cc","146,000 km"
"Rs 3,790,000",Toyota,Harrier,1998,Used,Automatic,Petrol,"2,100 cc","170,000 km"
"Rs 3,525,000",Toyota,IST,2003,Used,Automatic,Petrol,"1,300 cc","123,000 km"
"Rs 2,750,000",Perodua,Viva Elite,2010,Used,Automatic,Petrol,"1,000 cc","72,000 km"
"Rs 4,570,000",Toyota,Prius,2009,Used,Automatic,Petrol,"1,800 cc","88,000 km"
"Rs 2,395,000",Honda,Logo,1999,Used,Automatic,Petrol,"1,340 cc","9,289 km"
"Rs 680,000",Toyota,Corona,1985,Used,Manual,Petrol,"1,500 cc","200,000 km"
"Rs 5,750,000",Honda,Fit Shuttle,2015,Used,Automatic,Petrol,"1,500 cc","81,000 km"
"Rs 4,275,000",Suzuki,Wagon R Stingray,2017,Used,Automatic,Hybrid,650 cc,"39,000 km"
"Rs 8,735,000",Honda,Vezel,2017,Used,Automatic,Hybrid,"1,490 cc","77,429 km"
"Rs 6,490,000",Toyota,RAV4,2007,Used,Automatic,Petrol,"2,360 cc","148,008 km"
"Rs 11,900,000",Audi,A6,2014,Used,Automatic,Petrol,"2,000 cc","66,000 km"
"Rs 7,950,000",Toyota,Premio,2013,Used,Automatic,Petrol,"1,500 cc","97,000 km"
"Rs 3,175,000",Suzuki,Alto,2014,Used,Automatic,Petrol,660 cc,"89,000 km"
"Rs 4,425,000",Suzuki,Wagon R Stingray,2018,Used,Automatic,Hybrid,650 cc,"48,000 km"
"Rs 3,675,000",Nissan,Dayz,2015,Used,Automatic,Petrol,650 cc,"43,244 km"
"Rs 4,250,000",Suzuki,Spacia,2017,Used,Automatic,Petrol,650 cc,"30,231 km"
"Rs 8,750,000",Kia,Sorento,2012,Used,Automatic,Diesel,"2,200 cc","96,000 km"
"Rs 1,875,000",Nissan,Leaf,2012,Used,Automatic,Electric,80 cc,"88,000 km"
"Rs 4,400,000",Toyota,Aqua,2013,Used,Automatic,Hybrid,"1,500 cc","92,000 km"
"Rs 1,250,000",Chery,QQ,2007,Used,Manual,Petrol,660 cc,"130,000 km"
